Current Official Name of Satellite,Country/Org of UN Registry,Country of Operator/Owner,Operator/Owner,Users,Purpose,Detailed Purpose,Class of Orbit,Type of Orbit,Longitude of GEO (degrees),Perigee (km),Apogee (km),Eccentricity,Inclination (degrees),Period (minutes),Launch Mass (kg.), Dry Mass (kg.) ,Power (watts),Date of Launch,Expected Lifetime (yrs.),Contractor,Country of Contractor,Launch Site,Launch Vehicle,COSPAR Number,NORAD Number
Starlink-1678 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,548,561,0.000939,53,95.6,260,,,06/10/2020,4,SpaceX,USA,Cape Canaveral,Falcon 9,2020-070G,46538
Starlink-1679 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,548,561,0.000939,53,95.6,260,,,06/10/2020,4,SpaceX,USA,Cape Canaveral,Falcon 9,2020-070AB,46557
Starlink-1680 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,548,561,0.000939,53,95.6,260,,,06/10/2020,4,SpaceX,USA,Cape Canaveral,Falcon 9,2020-070AC,46558
Starlink-1681 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,548,561,0.000939,53,95.6,260,,,06/10/2020,4,SpaceX,USA,Cape Canaveral,Falcon 9,2020-070AD,46559
Starlink-1682 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,548,561,0.000939,53,95.6,260,,,06/10/2020,4,SpaceX,USA,Cape Canaveral,Falcon 9,2020-070AX,46577
Starlink-1683 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,548,561,0.000939,53,95.6,260,,,06/10/2020,4,SpaceX,USA,Cape Canaveral,Falcon 9,2020-070AY,46578
Starlink-1686,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,548,551,0.000217,53,95.6,260,,,03/09/2020,4,SpaceX,USA,Cape Canaveral,Falcon 9,2020-062D,46328
Starlink-1687 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,548,561,0.000939,53,95.6,260,,,06/10/2020,4,SpaceX,USA,Cape Canaveral,Falcon 9,2020-070K,46541
Starlink-1688,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,548,551,0.000217,53,95.6,260,,,03/09/2020,4,SpaceX,USA,Cape Canaveral,Falcon 9,2020-062AY,46371
Starlink-1689,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,548,551,0.000217,53,95.6,260,,,03/09/2020,4,SpaceX,USA,Cape Canaveral,Falcon 9,2020-062AZ,46372
Starlink-1690,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,548,551,0.000217,53,95.6,260,,,03/09/2020,4,SpaceX,USA,Cape Canaveral,Falcon 9,2020-062AK,46358
Starlink-1692 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,548,561,0.000939,53,95.6,260,,,06/10/2020,4,SpaceX,USA,Cape Canaveral,Falcon 9,2020-070L,46542
Starlink-1693 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,548,561,0.000939,53,95.6,260,,,06/10/2020,4,SpaceX,USA,Cape Canaveral,Falcon 9,2020-070M,46543
Starlink-1694 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,548,561,0.000939,53,95.6,260,,,06/10/2020,4,SpaceX,USA,Cape Canaveral,Falcon 9,2020-070N,46544
Starlink-1695,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,548,551,0.000217,53,95.6,260,,,03/09/2020,4,SpaceX,USA,Cape Canaveral,Falcon 9,2020-062E,46329
Starlink-1696 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,548,561,0.000939,53,95.6,260,,,06/10/2020,4,SpaceX,USA,Cape Canaveral,Falcon 9,2020-070P,46545
Starlink-1697 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,548,561,0.000939,53,95.6,260,,,06/10/2020,4,SpaceX,USA,Cape Canaveral,Falcon 9,2020-070Q,46546
Starlink-1698 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,548,561,0.000939,53,95.6,260,,,06/10/2020,4,SpaceX,USA,Cape Canaveral,Falcon 9,2020-070R,46547
Starlink-1699 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,548,561,0.000939,53,95.6,260,,,06/10/2020,4,SpaceX,USA,Cape Canaveral,Falcon 9,2020-070S,46548
Starlink-1700 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,548,561,0.000939,53,95.6,260,,,06/10/2020,4,SpaceX,USA,Cape Canaveral,Falcon 9,2020-070T,46549
Starlink-1701 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,548,561,0.000939,53,95.6,260,,,06/10/2020,4,SpaceX,USA,Cape Canaveral,Falcon 9,2020-070U,46550
Starlink-1704 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,548,561,0.000939,53,95.6,260,,,15/02/2021,4,SpaceX,USA,Cape Canaveral,Falcon 9,2021-012F,47625
Starlink-1705 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,548,561,0.000939,53,95.6,260,,,06/10/2020,4,SpaceX,USA,Cape Canaveral,Falcon 9,2020-070AZ,46579
Starlink-1706 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,548,561,0.000939,53,95.6,260,,,06/10/2020,4,SpaceX,USA,Cape Canaveral,Falcon 9,2020-070AE,46560
Starlink-1707,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,548,551,0.000217,53,95.6,260,,,03/09/2020,4,SpaceX,USA,Cape Canaveral,Falcon 9,2020-062AL,46359
Starlink-1708 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,548,561,0.000939,53,95.6,260,,,06/10/2020,4,SpaceX,USA,Cape Canaveral,Falcon 9,2020-070BA,46580
Starlink-1709 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,548,561,0.000939,53,95.6,260,,,06/10/2020,4,SpaceX,USA,Cape Canaveral,Falcon 9,2020-070AF,46561
Starlink-1710,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,548,551,0.000217,53,95.6,260,,,03/09/2020,4,SpaceX,USA,Cape Canaveral,Falcon 9,2020-062F,46330
Starlink-1711,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,548,551,0.000217,53,95.6,260,,,03/09/2020,4,SpaceX,USA,Cape Canaveral,Falcon 9,2020-062BB,46374
Starlink-1712 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,548,561,0.000939,53,95.6,260,,,06/10/2020,4,SpaceX,USA,Cape Canaveral,Falcon 9,2020-070BB,46581
Starlink-1713,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,548,551,0.000217,53,95.6,260,,,03/09/2020,4,SpaceX,USA,Cape Canaveral,Falcon 9,2020-062AM,46360
Starlink-1714 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,548,561,0.000939,53,95.6,260,,,06/10/2020,4,SpaceX,USA,Cape Canaveral,Falcon 9,2020-070AG,46562
Starlink-1715 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,548,561,0.000939,53,95.6,260,,,18/10/2020,4,SpaceX,USA,Cape Canaveral,Falcon 9,2020-073B,46671
Starlink-1716 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,548,561,0.000939,53,95.6,260,,,18/10/2020,4,SpaceX,USA,Cape Canaveral,Falcon 9,2020-073C,46672
Starlink-1717 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,548,561,0.000939,53,95.6,260,,,18/10/2020,4,SpaceX,USA,Cape Canaveral,Falcon 9,2020-073D,46673
Starlink-1718 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,548,561,0.000939,53,95.6,260,,,18/10/2020,4,SpaceX,USA,Cape Canaveral,Falcon 9,2020-073E,46674
Starlink-1719 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,548,551,0.000217,53,95.6,260,,,03/09/2020,4,SpaceX,USA,Cape Canaveral,Falcon 9,2020-062G,46331
Starlink-1720 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,548,561,0.000939,53,95.6,260,,,18/10/2020,4,SpaceX,USA,Cape Canaveral,Falcon 9,2020-073F,46675
Starlink-1721,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,548,551,0.000217,53,95.6,260,,,03/09/2020,4,SpaceX,USA,Cape Canaveral,Falcon 9,2020-062H,46332
Starlink-1722,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,548,551,0.000217,53,95.6,260,,,03/09/2020,4,SpaceX,USA,Cape Canaveral,Falcon 9,2020-062AN,46361
